# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  147       5.877260968879e-10       1.476226480144e-13      -6.217254456147e-12       0.000000000000e+00       3.341033813757e-12       7.167651644751e-13      -4.113380300383e-15 
  148       5.922390200655e-10       1.469675722764e-13      -6.223889997462e-12       0.000000000000e+00       3.276461919086e-12       7.056368242480e-13      -4.042634574310e-15 
  149       5.967260702183e-10       1.462511926031e-13      -6.227188474898e-12       0.000000000000e+00       3.213482517476e-12       6.947140255257e-13      -3.971072169974e-15 
  150       6.011859903004e-10       1.454748337942e-13      -6.227106122803e-12       0.000000000000e+00       3.152079210968e-12       6.839988839787e-13      -3.898853096143e-15 
  151       6.056174838295e-10       1.446399346065e-13      -6.223600874728e-12       0.000000000000e+00       3.092229463399e-12       6.734927971806e-13      -3.826144142506e-15 
  152       6.100192141076e-10       1.437480496663e-13      -6.216632407574e-12       0.000000000000e+00       3.033904460923e-12       6.631964264603e-13      -3.753118972113e-15 
  153       6.143898034411e-10       1.428008513822e-13      -6.206162185740e-12       0.000000000000e+00       2.977068972517e-12       6.531096787562e-13      -3.679958213822e-15 
  154       6.187278323620e-10       1.418001318568e-13      -6.192153505273e-12       0.000000000000e+00       2.921681210501e-12       6.432316884682e-13      -3.606849554747e-15 
  155       6.230318388474e-10       1.407478047994e-13      -6.174571538017e-12       0.000000000000e+00       2.867692691046e-12       6.335607993117e-13      -3.533987832699e-15 
  156       6.273003175410e-10       1.396459074386e-13      -6.153383375762e-12       0.000000000000e+00       2.815048094695e-12       6.240945461699e-13      -3.461575128638e-15 
  157       6.315317189726e-10       1.384966024343e-13      -6.128558074393e-12       0.000000000000e+00       2.763685126871e-12       6.148296369475e-13      -3.389820859113e-15 
  158       6.357244487794e-10       1.373021797902e-13      -6.100066698037e-12       0.000000000000e+00       2.713534378394e-12       6.057619344236e-13      -3.318941868710e-15 
